"Lab.Nut","TP","TP_flg","SRP","SRP_flg","NH3-N","NH3-N_flg","NO23-N","NO23-N_flg","TKN","TKN_flg","TN","TN_flg"
"K5111-38",0.42,,9.0e-03,,0.07,,0.55,,0.29,,,
"K5111-41",0.01,"<",5.0e-03,,0.05,,0.03,"<",0.23,,,
"K5111-42",0.01,"<",5.0e-03,"<",0.06,,0.15,,0.14,,,
"K5111-43",0.01,"<",5.0e-03,"<",0.05,,0.28,,0.15,,,
"K5111-44",0.02,,0.01,,0.05,,0.35,,0.17,,,
"K5111-45",0.01,"<",5.0e-03,"<",0.06,,0.04,,0.15,,,
"K5111-46",0.01,,5.0e-03,"<",0.06,,0.42,,0.23,,,
"K5111-47",0.01,"<",5.0e-03,"<",0.05,,0.23,,0.15,,,
"K5111-48",0.04,,8.0e-03,,0.06,,0.37,,0.20,,,
"K5111-49",0.01,,5.0e-03,,0.05,,0.10,,0.23,,,
"K5111-50",0.02,,6.0e-03,,0.07,,0.43,,0.29,,,
"K5111-51",0.04,,0.02,,0.04,,0.31,,0.17,,,
"K5111-52",0.03,,5.0e-03,"<",0.05,,0.16,,0.45,,,
"K5111-53",0.07,,5.0e-03,"<",0.04,,0.22,,0.30,,,
"K5111-56",0.01,"<",5.0e-03,"<",0.07,,0.03,"<",0.19,,,
"K5111-57",0.02,,5.0e-03,"<",0.08,,0.18,,0.28,,,
"K5111-58",0.01,"<",5.0e-03,"<",0.06,,0.12,,0.38,,,
"K5111-59",0.03,,0.01,,0.06,,0.30,,0.46,,,
"K5111-60",0.01,"<",5.0e-03,"<",0.04,,0.29,,0.34,,,
"K5111-61",0.01,"<",5.0e-03,"<",0.03,,0.27,,0.20,,,
"K5111-62",0.01,"<",5.0e-03,,0.05,,0.28,,0.18,,,
"K5111-63",0.01,"<",5.0e-03,"<",0.04,,0.29,,0.17,,,
"K5111-64",0.01,"<",5.0e-03,"<",0.03,,0.26,,0.16,,,
"K5111-65",0.02,,0.01,,0.04,,0.37,,0.20,,,
"K5111-66",0.01,"<",5.0e-03,"<",0.04,,0.03,"<",0.28,,,
"K5111-67",0.01,"<",5.0e-03,"<",0.04,,0.21,,0.22,,,
"K5134-1",0.01,"<",0.01,"J",0.03,,0.07,"J",0.18,,,
"K5134-10",0.02,"J",0.01,"J",0.04,,0.25,,0.08,"J",,
"K5134-11",0.05,,0.02,,0.08,,0.27,,0.16,,,
"K5134-12",0.03,,8.0e-03,"J",0.03,,0.21,,0.08,"J",,
"K5134-13",0.02,"J",0.01,"J",0.03,,0.24,,0.07,"J",,
"K5134-14",0.02,"J",6.0e-03,"J",0.03,,0.24,,0.22,,,
"K5134-15",0.02,"J",0.01,,0.03,,0.23,,0.07,"J",,
"K5134-16",0.01,"J",6.0e-03,"J",0.03,,0.23,,0.11,"J",,
"K5134-17",0.02,"J",8.0e-03,"J",0.04,,0.23,,0.06,"J",,
"K5134-18",0.01,"<",6.0e-03,"J",0.03,,0.09,,0.12,"J",,
"K5134-19",0.01,"J",5.0e-03,"<",0.03,,0.11,,0.10,"J",,
"K5134-2",0.01,"<",0.01,"J",0.02,"J",0.22,,0.15,,,
"K5134-20",0.01,"J",0.01,"J",0.02,"J",0.29,,0.11,"J",,
"K5134-21",0.03,,0.02,,0.03,,0.30,,0.14,"J",,
"K5134-23",0.01,"J",5.0e-03,"<",0.03,,0.14,,0.13,"J",,
"K5134-24",0.01,"<",5.0e-03,"<",0.03,,0.15,,0.05,"<",,
"K5134-3",0.01,"<",5.0e-03,"<",0.05,,0.07,"J",0.16,,,
"K5134-4",0.01,"J",5.0e-03,"<",0.02,"J",0.21,,0.11,"J",,
"K5134-5",0.01,"<",5.0e-03,"<",0.02,"J",0.19,,0.08,"J",,
"K5134-6",0.01,"<",5.0e-03,"<",0.02,"J",0.20,,0.13,"J",,
"K5134-7",0.01,"<",5.0e-03,"<",0.03,,0.16,,0.07,"J",,
"K5134-9",0.01,"J",6.0e-03,"J",0.03,,0.19,,0.09,"J",,
"K5155-49",0.01,"<",5.0e-03,"<",0.01,,0.12,,0.22,,,
"K5155-50",0.01,,0.01,,0.01,"<",0.34,,0.20,,,
"K5155-51",0.02,,0.01,,0.01,"<",0.32,,0.21,,,
"K5155-52",0.02,,9.0e-03,,0.01,"<",0.30,,0.19,,,
"K5155-53",0.01,,5.0e-03,"<",0.01,"<",0.20,,0.26,,,
"K5155-54",0.01,,5.0e-03,"<",0.01,,0.14,,0.24,,,
"K5155-55",0.03,,7.0e-03,,0.01,"<",0.31,,0.27,,,
"K5155-56",0.02,,0.01,,0.01,"<",0.31,,0.19,,,
"K5155-57",0.01,"<",5.0e-03,"<",0.01,"<",0.17,,0.22,,,
"K5155-58",0.02,,5.0e-03,"<",0.01,"<",0.28,,0.21,,,
"K5155-59",0.04,,0.01,,0.01,"<",0.30,,0.21,,,
"K5155-61",0.01,,5.0e-03,"<",0.01,"<",0.14,,0.20,,,
"K5155-63",0.01,,5.0e-03,"<",0.01,"<",0.24,,0.22,,,
"K5155-64",0.02,,5.0e-03,"<",0.01,,0.29,,0.27,,,
"K5155-65",0.01,,5.0e-03,"<",0.01,"<",0.21,,0.27,,,
"K5155-66",0.07,,5.0e-03,"<",0.02,,0.24,,0.25,,,
"K5155-67",0.02,,5.0e-03,"<",0.01,"<",0.28,,0.26,,,
"K5155-68",0.01,,5.0e-03,"<",0.01,"<",0.18,,0.20,,,
"K5155-69",0.01,,5.0e-03,"<",0.02,,0.20,,0.26,,,
"K5155-70",0.02,,5.0e-03,"<",0.03,,0.33,,0.28,,,
"K5155-73",0.01,,5.0e-03,"<",0.01,"<",0.18,,0.28,,,
"K5155-74",0.01,,5.0e-03,"<",0.01,"<",0.24,,0.22,,,
"K5155-75",0.01,,5.0e-03,"<",0.02,,0.28,,0.28,,,
"K5155-76",0.01,,5.0e-03,"<",0.01,,0.22,,0.32,,,
"K5155-77",0.03,,5.0e-03,"<",0.01,,0.24,,0.21,,,
"K5155-78",0.02,,5.0e-03,"<",0.02,,0.25,,0.27,,,
"K5155-79",0.02,,5.0e-03,"<",0.01,,0.20,,0.23,,,
"K5155-80",0.02,,5.0e-03,"<",0.01,,0.26,,0.27,,,
"K5155-81",0.04,,5.0e-03,"<",0.03,,0.24,,0.35,,,
"K5155-83",0.04,,5.0e-03,"<",0.03,,0.31,,0.33,,,
"K5155-85",0.04,,5.0e-03,"<",0.03,,0.28,,0.39,,,
"K5155-86",0.01,,5.0e-03,"<",0.01,"<",0.20,,0.25,,,
"K5155-87",0.02,,5.0e-03,"<",0.01,,0.20,,0.23,,,
"K5155-88",0.01,,5.0e-03,"<",0.01,,0.24,,0.21,,,
"K5155-89",0.03,,5.0e-03,"<",0.03,,0.19,,0.24,,,
"K5155-90",1.30,,5.0e-03,"<",0.04,,0.06,,1.18,,,
"K5155-92",0.01,"<",5.0e-03,"<",0.01,"<",0.17,,0.20,,,
"K5155-93",0.01,,6.0e-03,,0.01,"<",0.28,,0.18,,,
"K5155-97",0.02,,5.0e-03,"<",0.01,"<",0.23,,0.19,,,
"K5155-98",0.20,"error",5.0e-03,"<",0.01,"<",0.25,,0.19,,,
"K5188-100",0.01,,5.0e-03,"<",0.01,,0.19,,0.18,,,
"K5188-101",0.01,,5.0e-03,"<",0.01,,0.23,,0.19,,,
"K5188-102",0.01,,5.0e-03,"<",0.01,,0.24,,0.21,,,
"K5188-103",0.01,,5.0e-03,"<",0.01,,0.28,,0.20,,,
"K5188-104",0.02,,9.0e-03,,0.01,"<",0.31,,0.21,,,
"K5188-105",0.01,,7.0e-03,,0.03,,0.25,,0.26,,,
"K5188-106",0.02,,6.0e-03,,0.04,,0.30,,0.29,,,
"K5188-107",0.02,,8.0e-03,,0.01,"<",0.37,,0.24,,,
"K5188-108",0.02,,7.0e-03,,0.01,"<",0.32,,0.17,,,
"K5188-109",0.03,,8.0e-03,,0.05,,0.32,,0.28,,,
"K5188-110",0.06,,0.01,,0.05,,0.35,,0.29,,,
"K5188-111",0.03,,0.01,,0.03,,0.38,,0.25,,,
"K5188-112",0.04,,0.01,,0.01,,0.43,,0.24,,,
"K5188-113",0.51,,0.01,,0.01,,0.33,,0.29,,,
"K5188-115",7.0e-03,,5.0e-03,"<",0.02,,0.17,,0.18,,,
"K5188-116",0.01,,5.0e-03,"<",0.01,,0.24,,0.16,,,
"K5188-117",0.02,,5.0e-03,,0.01,,0.29,,0.20,,,
"K5188-118",0.01,,5.0e-03,"<",0.02,,0.17,,0.17,,,
"K5188-119",0.01,,5.0e-03,"<",0.03,,0.20,,0.22,,,
"K5188-120",5.0e-03,,5.0e-03,"<",0.01,,0.26,,0.16,,,
"K5188-121",6.0e-03,,5.0e-03,"<",0.01,,0.26,,0.17,,,
"K5188-122",0.02,,5.0e-03,,0.03,,0.20,,0.18,,,
"K5188-127",0.02,,5.0e-03,"<",0.02,,0.15,,0.18,,,
"K5188-128",7.0e-03,,5.0e-03,"<",0.01,,0.24,,0.18,,,
"K5188-129",0.01,,5.0e-03,"<",0.01,,0.32,,0.18,,,
"K5188-130",0.02,,0.01,,0.01,,0.32,,0.21,,,
"K5188-131",8.0e-03,,5.0e-03,"<",0.01,"<",0.06,,0.19,,,
"K5188-132",0.01,,5.0e-03,"<",0.02,,0.17,,0.18,,,
"K5188-133",0.02,,0.01,,0.01,,0.31,,0.18,,,
"K5188-134",0.01,,5.0e-03,,0.01,,0.28,,0.19,,,
"K5188-135",0.01,,5.0e-03,"<",0.01,,0.26,,0.16,,,
"K5188-68",0.03,,0.02,,0.02,,0.29,,0.26,,,
"K5188-69",8.0e-03,,0.01,,0.01,,0.15,,0.20,,,
"K5188-70",0.11,,0.01,,0.02,,0.33,,1.14,,,
"K5188-71",0.02,,0.02,,0.05,,0.33,,0.23,,,
"K5188-72",0.01,,6.0e-03,,0.01,,0.24,,0.22,,,
"K5188-73",0.02,,8.0e-03,,0.01,,0.28,,0.21,,,
"K5188-74",9.0e-03,,5.0e-03,"<",0.01,"<",0.16,,0.21,,,
"K5188-75",0.02,,8.0e-03,,0.01,"<",0.31,,0.05,"<",,
"K5188-76",0.02,,9.0e-03,,0.01,,0.31,,0.23,,,
"K5188-77",0.02,,0.01,,0.03,,0.32,,0.23,,,
"K5188-78",0.01,,5.0e-03,,0.01,,0.26,,0.24,,,
"K5188-79",9.0e-03,,5.0e-03,"<",0.02,,0.12,,0.25,,,
"K5188-80",0.01,,5.0e-03,"<",0.01,"<",0.14,,0.29,,,
"K5188-81",0.01,,0.01,,0.01,"<",0.31,,0.23,,,
"K5188-82",0.02,,0.01,,0.01,,0.34,,0.22,,,
"K5188-85",0.01,,5.0e-03,"<",0.01,"<",0.12,,0.20,,,
"K5188-86",0.01,,5.0e-03,"<",0.01,"<",0.22,,0.21,,,
"K5188-87",0.01,,8.0e-03,,0.05,,0.31,,0.17,,,
"K5188-88",0.02,,0.01,,0.01,"<",0.32,,0.20,,,
"K5188-90",0.06,,0.01,,0.04,,0.03,"<",0.30,,,
"K5188-93",0.02,,5.0e-03,"<",0.02,,0.15,,0.19,,,
"K5188-94",9.0e-03,,5.0e-03,"<",0.01,,0.19,,0.20,,,
"K5188-95",9.0e-03,,5.0e-03,"<",0.01,"<",0.18,,0.15,,,
"K5188-96",0.01,,8.0e-03,,0.02,,0.30,,0.21,,,
"K5188-97",0.02,,5.0e-03,"<",0.01,,0.16,,0.16,,,
"K5188-98",0.02,,5.0e-03,"<",0.01,"<",0.25,,0.16,,,
"K5188-99",0.01,,7.0e-03,,0.01,"<",0.31,,0.18,,,
"K5237-100",8.0e-03,,5.0e-03,"<",0.05,,0.03,"<",0.27,,,
"K5237-101",6.0e-03,,5.0e-03,"<",0.04,,0.27,,0.17,,,
"K5237-102",5.0e-03,,5.0e-03,"<",0.04,,0.26,,0.22,,,
"K5237-103",0.01,,0.01,,0.06,,0.32,,0.20,,,
"K5237-104",0.04,,5.0e-03,"<",0.04,,0.03,"<",0.32,,,
"K5237-106",6.0e-03,,5.0e-03,"<",0.05,,0.03,"<",0.27,,,
"K5237-107",8.0e-03,,5.0e-03,"<",0.05,,0.23,,0.17,,,
"K5237-108",0.02,,0.01,,0.06,,0.32,,0.22,,,
"K5237-111",0.01,,5.0e-03,"<",0.05,,0.03,"<",0.27,,,
"K5237-112",0.01,,5.0e-03,,0.05,,0.27,,0.31,,,
"K5237-113",0.02,,0.01,,0.05,,0.34,,0.28,,,
"K5237-114",0.01,,5.0e-03,"<",0.05,,0.03,,0.35,,,
"K5237-115",9.0e-03,,7.0e-03,,0.06,,0.29,,0.27,,,
"K5237-116",0.01,,0.01,,0.06,,0.30,,0.20,,,
"K5237-117",0.03,,0.02,,0.08,,0.36,,0.25,,,
"K5237-118",7.0e-03,,5.0e-03,"<",0.06,,0.12,,0.26,,,
"K5237-119",9.0e-03,,5.0e-03,"<",0.06,,0.43,,0.24,,,
"K5237-120",0.02,,0.01,,0.06,,0.34,,0.21,,,
"K5237-121",0.03,,0.02,,0.06,,0.39,,0.24,,,
"K5237-122",0.01,,5.0e-03,"<",0.05,,0.36,,0.30,,,
"K5237-123",0.01,,5.0e-03,"<",0.05,,0.47,,0.25,,,
"K5237-124",0.03,,0.02,,0.06,,0.29,,0.24,,,
"K5237-125",0.02,,0.01,,0.06,,0.42,,0.24,,,
"K5237-126",0.03,,0.01,,0.07,,0.47,,0.26,,,
"K5237-127",0.05,,5.0e-03,"<",0.05,,0.08,,0.40,,,
"K5237-130",5.0e-03,"<",5.0e-03,"<",0.06,,0.03,"<",0.20,,,
"K5237-131",5.0e-03,"<",5.0e-03,"<",0.07,,0.08,,0.20,,,
"K5237-132",5.0e-03,"<",5.0e-03,"<",0.05,,0.25,,0.17,,,
"K5237-133",0.02,,0.01,,0.13,,0.31,,0.27,,,
"K5237-134",5.0e-03,"<",5.0e-03,"<",0.06,,0.03,"<",0.17,,,
"K5237-135",5.0e-03,,5.0e-03,"<",0.03,,0.09,,0.15,,,
"K5237-136",0.01,,8.0e-03,,0.05,,0.32,,0.18,,,
"K5237-137",0.02,,0.01,,0.07,,0.34,,0.20,,,
"K5237-138",0.02,,5.0e-03,"<",0.07,,0.04,,0.24,,,
"K5237-139",0.02,,5.0e-03,"<",0.13,,0.14,,0.26,,,
"K5237-145",5.0e-03,"<",5.0e-03,"<",0.06,,0.03,"<",0.20,,,
"K5237-146",5.0e-03,"<",5.0e-03,"<",0.06,,0.15,,0.22,,,
"K5237-147",5.0e-03,,5.0e-03,"<",0.06,,0.17,,0.21,,,
"K5237-148",0.89,,0.01,,0.08,,0.24,,1.89,,,
"K5237-149",6.0e-03,,5.0e-03,"<",0.06,,0.26,,0.17,,,
"K5237-150",8.0e-03,,5.0e-03,"<",0.06,,0.24,,0.19,,,
"K5237-75",5.0e-03,"<",0.01,,0.04,,0.06,,0.23,,,
"K5237-76",0.02,,6.0e-03,,0.04,,0.24,,0.20,,,
"K5237-77",6.0e-03,,5.0e-03,"<",0.03,,0.21,,0.18,,,
"K5237-78",0.01,,9.0e-03,,0.04,,0.29,,0.17,,,
"K5237-79",0.01,,0.01,,0.03,,0.32,,0.19,,,
"K5237-80",6.0e-03,,5.0e-03,"<",0.04,,0.24,,0.16,,,
"K5237-81",6.0e-03,,5.0e-03,"<",0.05,,0.20,,0.17,,,
"K5237-82",7.0e-03,,5.0e-03,"<",0.04,,0.03,"<",0.23,,,
"K5237-83",5.0e-03,"<",5.0e-03,"<",0.03,,0.23,,0.19,,,
"K5237-84",0.01,,6.0e-03,,0.03,,0.29,,0.18,,,
"K5237-85",0.02,,9.0e-03,,0.04,,0.31,,0.17,,,
"K5237-86",7.0e-03,,5.0e-03,"<",0.04,,0.23,,0.20,,,
"K5237-87",6.0e-03,,5.0e-03,"<",0.03,,0.20,,0.24,,,
"K5237-88",7.0e-03,,5.0e-03,"<",0.04,,0.03,"<",0.23,,,
"K5237-89",5.0e-03,"<",5.0e-03,"<",0.04,,0.23,,0.20,,,
"K5237-90",7.0e-03,,5.0e-03,"<",0.05,,0.25,,0.20,,,
"K5237-91",0.01,,5.0e-03,"<",0.04,,0.30,,0.19,,,
"K5237-92",0.02,,6.0e-03,,0.04,,0.32,,0.21,,,
"K5237-93",5.0e-03,"<",5.0e-03,"<",0.03,,0.03,"<",0.24,,,
"K5237-94",5.0e-03,"<",5.0e-03,"<",0.04,,0.21,,0.27,,,
"K5237-95",5.0e-03,,8.0e-03,,0.05,,0.24,,0.23,,,
"K5237-96",0.01,,0.01,,0.03,,0.31,,0.23,,,
"K5237-97",0.02,,0.02,,0.06,,0.33,,0.23,,,
"K5272-1",5.0e-03,,5.0e-03,"<",0.02,,0.30,,0.69,,,
"K5272-10",0.01,,5.0e-03,"<",0.02,,0.30,,0.16,,,
"K5272-11",6.0e-03,,5.0e-03,"<",0.02,,0.31,,0.16,,,
"K5272-12",7.0e-03,,5.0e-03,"<",0.03,,0.31,,0.16,,,
"K5272-13",6.0e-03,,5.0e-03,"<",0.04,,0.21,,0.18,,,
"K5272-14",5.0e-03,,5.0e-03,"<",0.05,,0.31,,6.30,,,
"K5272-15",6.0e-03,,5.0e-03,"<",0.02,,0.31,,0.17,,,
"K5272-16",0.01,,0.01,,0.04,,0.39,,0.19,,,
"K5272-17",6.0e-03,,5.0e-03,"<",0.01,,0.31,,0.16,,,
"K5272-18",7.0e-03,,5.0e-03,"<",0.02,,0.31,,0.18,,,
"K5272-19",6.0e-03,,5.0e-03,"<",0.02,,0.11,,0.18,,,
"K5272-2",5.0e-03,"<",5.0e-03,"<",0.03,,0.03,"<",0.71,,,
"K5272-20",6.0e-03,,5.0e-03,"<",0.02,,0.31,,0.17,,,
"K5272-22",9.0e-03,,5.0e-03,"<",0.02,,0.36,,0.18,,,
"K5272-23",5.0e-03,"<",5.0e-03,"<",0.02,,0.18,,0.16,,,
"K5272-24",9.0e-03,,5.0e-03,"<",0.01,,0.34,,0.15,,,
"K5272-25",9.0e-03,,5.0e-03,"<",0.02,,0.37,,0.17,,,
"K5272-26",0.02,,0.01,,0.01,,0.37,,0.18,,,
"K5272-27",5.0e-03,"<",5.0e-03,"<",0.02,,0.20,,0.17,,,
"K5272-28",0.01,,5.0e-03,"<",0.01,,0.38,,0.15,,,
"K5272-29",0.01,,5.0e-03,"<",0.01,,0.35,,0.22,,,
"K5272-3",5.0e-03,,5.0e-03,"<",0.04,,0.09,,0.87,,,
"K5272-31",5.0e-03,"<",5.0e-03,"<",0.01,,0.29,,0.16,,,
"K5272-32",8.0e-03,,5.0e-03,"<",0.01,,0.35,,0.18,,,
"K5272-33",7.0e-03,,5.0e-03,"<",0.01,,0.38,,0.15,,,
"K5272-34",0.01,,5.0e-03,"<",0.01,,0.40,,0.16,,,
"K5272-35",0.02,,5.0e-03,"<",0.01,,0.37,,0.23,,,
"K5272-36",8.0e-03,,5.0e-03,"<",0.01,,0.20,,0.19,,,
"K5272-37",7.0e-03,,5.0e-03,"<",0.02,,0.22,,0.24,,,
"K5272-38",9.0e-03,,5.0e-03,"<",0.02,,0.19,,0.24,,,
"K5272-39",0.01,,5.0e-03,"<",0.02,,0.20,,0.27,,,
"K5272-4",6.0e-03,,6.0e-03,,0.03,,0.30,,0.71,,,
"K5272-40",9.0e-03,,5.0e-03,"<",0.02,,0.15,,0.24,,,
"K5272-41",0.01,,5.0e-03,"<",0.03,,0.24,,0.26,,,
"K5272-43",0.04,,5.0e-03,"<",0.03,,0.22,,0.33,,,
"K5272-45",7.0e-03,,5.0e-03,"<",0.01,,0.21,,0.26,,,
"K5272-46",0.02,,5.0e-03,"<",0.01,,0.35,,0.25,,,
"K5272-47",0.03,,8.0e-03,,0.01,,0.38,,0.27,,,
"K5272-48",0.04,,6.0e-03,,0.01,,0.32,,0.27,,,
"K5272-49",0.01,,5.0e-03,"<",0.01,,0.21,,0.32,,,
"K5272-5",0.01,,9.0e-03,,0.02,,0.37,,0.62,,,
"K5272-50",9.0e-03,,5.0e-03,"<",0.02,,0.17,,0.24,,,
"K5272-51",0.02,,5.0e-03,"<",0.01,,0.30,,0.27,,,
"K5272-52",0.04,,6.0e-03,,0.01,,0.32,,0.37,,,
"K5272-53",6.0e-03,,5.0e-03,"<",0.01,,0.23,,0.22,,,
"K5272-54",0.01,,5.0e-03,"<",0.01,,0.24,,0.22,,,
"K5272-55",0.02,,5.0e-03,"<",0.03,,0.23,,0.26,,,
"K5272-56",6.0e-03,,5.0e-03,"<",0.01,,0.23,,0.21,,,
"K5272-57",8.0e-03,,5.0e-03,"<",0.01,"<",0.24,,0.20,,,
"K5272-58",0.02,,5.0e-03,"<",0.01,,0.23,,0.26,,,
"K5272-6",5.0e-03,,5.0e-03,"<",0.03,,0.28,,0.62,,,
"K5272-60",0.01,,5.0e-03,"<",0.01,,0.27,,0.26,,,
"K5272-65",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.13,,0.19,,,
"K5272-66",6.0e-03,,5.0e-03,"<",0.01,"<",0.14,,0.21,,,
"K5272-67",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.25,,0.17,,,
"K5272-68",0.03,,5.0e-03,"<",0.09,,0.09,,0.29,,,
"K5272-69",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.06,,0.20,,,
"K5272-7",6.0e-03,,5.0e-03,"<",0.03,,0.05,,0.85,,,
"K5272-70",0.01,,5.0e-03,"<",0.01,"<",0.04,,0.18,,,
"K5272-71",5.0e-03,,5.0e-03,"<",0.01,"<",0.17,,0.20,,,
"K5272-72",5.0e-03,,5.0e-03,"<",0.01,"<",0.17,,0.21,,,
"K5272-8",6.0e-03,,5.0e-03,"<",0.02,,0.23,,0.17,,,
"K5272-9",5.0e-03,"<",6.0e-03,,0.02,,0.38,,0.19,,,
"K5282-10",0.01,,5.0e-03,"<",0.03,,0.23,,0.14,,,
"K5282-6",0.02,,5.0e-03,"<",0.04,,0.14,,0.13,,,
"K5282-7",0.03,,5.0e-03,"<",0.03,,0.30,,0.15,,,
"K5282-8",0.01,,5.0e-03,,0.05,,0.31,,0.16,,,
"K5282-9",0.02,,5.0e-03,"<",0.03,,0.22,,0.11,,,
"K5287-1",0.01,,5.0e-03,"<",0.01,,0.16,,0.15,,,
"K5287-10",0.01,,5.0e-03,"<",0.01,"<",0.20,,0.24,,,
"K5287-11",0.01,,6.0e-03,,5.0e-03,,0.28,,0.14,,,
"K5287-12",0.01,,5.0e-03,,0.02,,0.29,,0.18,,,
"K5287-13",0.01,,5.0e-03,"<",0.01,"<",0.22,,0.19,,,
"K5287-14",0.01,,5.0e-03,"<",0.01,,0.22,,0.17,,,
"K5287-15",0.01,,9.0e-03,,0.01,"<",0.31,,0.15,,,
"K5287-16",0.02,,9.0e-03,,0.01,"<",0.33,,0.23,,,
"K5287-17",8.0e-03,,5.0e-03,"<",0.01,"<",0.21,,0.05,,,
"K5287-18",9.0e-03,,5.0e-03,"<",0.01,"<",0.21,,0.19,,,
"K5287-19",7.0e-03,,5.0e-03,"<",7.0e-03,,0.22,,0.20,,,
"K5287-2",0.02,,7.0e-03,,0.01,"<",0.32,,0.14,,,
"K5287-20",0.02,,5.0e-03,"<",0.01,,0.20,,0.22,,,
"K5287-21",0.01,,5.0e-03,"<",0.01,,0.19,,0.20,,,
"K5287-22",0.01,,5.0e-03,"<",0.01,,0.18,,0.20,,,
"K5287-25",0.01,,5.0e-03,"<",0.02,,0.16,,0.20,,,
"K5287-26",0.01,,5.0e-03,"<",0.01,"<",0.18,,0.18,,,
"K5287-27",0.01,,5.0e-03,"<",0.01,"<",0.31,,0.17,,,
"K5287-28",0.01,,5.0e-03,"<",0.02,,0.29,,0.23,,,
"K5287-29",9.0e-03,,5.0e-03,"<",0.01,"<",0.22,,0.20,,,
"K5287-3",0.02,,9.0e-03,,0.01,"<",0.34,,0.15,,,
"K5287-30",0.02,,5.0e-03,"<",9.0e-03,,0.22,,0.20,,,
"K5287-31",0.02,,5.0e-03,,0.03,,0.27,,0.20,,,
"K5287-32",0.01,,5.0e-03,"<",6.0e-03,,0.21,,0.18,,,
"K5287-33",0.01,,5.0e-03,"<",7.0e-03,,0.23,,0.17,,,
"K5287-34",0.01,,5.0e-03,"<",0.02,,0.28,,0.23,,,
"K5287-35",0.01,,5.0e-03,"<",0.01,"<",0.22,,0.22,,,
"K5287-36",0.01,,5.0e-03,"<",0.01,,0.23,,0.19,,,
"K5287-37",0.02,,5.0e-03,"<",0.02,,0.27,,0.23,,,
"K5287-38",0.03,,5.0e-03,"<",0.03,,0.26,,0.27,,,
"K5287-39",0.04,,5.0e-03,"<",0.03,,0.25,,0.30,,,
"K5287-4",0.01,,6.0e-03,,0.01,"<",0.32,,0.15,,,
"K5287-42",0.15,,5.0e-03,"<",0.04,,0.03,"<",0.30,,,
"K5287-44",0.02,,5.0e-03,"<",0.01,"<",0.12,,0.20,,,
"K5287-45",0.01,,5.0e-03,"<",0.01,"<",0.17,,0.14,,,
"K5287-46",0.01,,5.0e-03,"<",0.01,,0.12,,0.13,,,
"K5287-47",0.02,,0.01,,0.01,"<",0.31,,0.17,,,
"K5287-48",0.01,,5.0e-03,"<",6.0e-03,,0.15,,0.17,,,
"K5287-5",0.03,,5.0e-03,"<",0.01,"<",0.20,,0.14,,,
"K5287-52",0.01,,5.0e-03,"<",5.0e-03,,0.07,,0.20,,,
"K5287-53",0.01,,5.0e-03,"<",6.0e-03,,0.14,,0.13,,,
"K5287-54",0.02,,0.01,,7.0e-03,,0.31,,0.14,,,
"K5287-55",0.01,,9.0e-03,,7.0e-03,,0.27,,0.14,,,
"K5287-56",0.01,,6.0e-03,,9.0e-03,,0.24,,0.15,,,
"K5287-6",0.01,,0.01,,0.01,"<",0.32,,0.15,,,
"K5287-7",0.01,,5.0e-03,"<",0.01,"<",0.31,,0.15,,,
"K5295-1",0.16,,0.16,,0.04,,0.14,,0.48,,,
"K5295-2",0.01,,6.0e-03,,0.05,,0.25,,0.17,,,
"K5295-3",7.0e-03,,6.0e-03,,0.05,,0.11,,0.14,,,
"K5295-4",0.01,,6.0e-03,,0.05,,0.29,,0.10,,,
"K5295-5",0.01,,6.0e-03,,0.06,,0.29,,0.16,,,
"K5295-6",8.0e-03,,6.0e-03,,0.07,,0.14,,0.19,,,
"K5295-7",0.01,,6.0e-03,,0.07,,0.29,,0.16,,,
"K5302-1",6.0e-03,,5.0e-03,"<",0.01,"<",0.11,,0.19,,,
"K5302-2",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.17,,0.20,,,
"K5302-3",0.01,,8.0e-03,,0.01,"<",0.32,,0.16,,,
"K5302-4",8.0e-03,,5.0e-03,"<",0.01,"<",0.32,,0.20,,,
"K5302-5",7.0e-03,,5.0e-03,"<",0.01,"<",0.29,,0.20,,,
"K5302-6",0.01,,5.0e-03,"<",0.01,"<",0.24,,0.27,,,
"K5334-100",0.06,,5.0e-03,"<",0.01,"<",0.24,,0.24,,,
"K5334-101",0.07,,0.01,,0.01,"<",0.30,,0.22,,,
"K5334-102",0.23,,0.01,,0.01,"<",0.15,,0.30,,,
"K5334-104",0.09,,5.0e-03,"<",0.01,"<",0.07,,0.30,,,
"K5334-105",0.12,,8.0e-03,,0.01,"<",0.14,,0.30,,,
"K5334-106",0.08,,9.0e-03,,0.01,"<",0.33,,0.28,,,
"K5334-107",0.08,,7.0e-03,,0.01,"<",0.08,,0.61,,,
"K5334-108",0.09,,5.0e-03,"<",0.01,"<",0.16,,0.30,,,
"K5334-109",0.08,,7.0e-03,,0.01,"<",0.28,,0.25,,,
"K5334-57",0.08,,5.0e-03,"<",0.01,"<",0.26,,0.23,,,
"K5334-58",0.07,,5.0e-03,"<",0.01,"<",0.27,,0.18,,,
"K5334-59",0.06,,5.0e-03,"<",0.01,"<",0.08,,0.19,,,
"K5334-60",0.06,,0.45,,0.01,"<",0.23,,0.21,,,
